fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away
35908,,UTC,2016-12-11T00:00:00+00:00,1481414400,,,,"Arena Condá (Chapecó, Santa Catarina)",,Match Cancelled,CANC,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2016,Regular Season - 38,132,Chapecoense-sc,https://media.api-sports.io/football/teams/132.png,,1062,Atletico-MG,https://media.api-sports.io/football/teams/1062.png,,,,,,,,,,,
36286,"Bruno Arleu de Araujo, Brazil",UTC,2016-05-14T19:00:00+00:00,1463252400,1463252400.0,1463256000.0,,Allianz Parque,Sao Paulo,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2016,Regular Season - 1,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,True,134,Atletico Paranaense,https://media.api-sports.io/football/teams/134.png,False,4.0,0.0,1.0,0.0,4.0,0.0,,,,
36285,"Marcelo Aparecido Ribeiro de Souza, Brazil",UTC,2016-05-14T19:00:00+00:00,1463252400,1463252400.0,1463256000.0,,Estadio Raulino de Oliveira,Volta Redonda,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2016,Regular Season - 1,127,Flamengo,https://media.api-sports.io/football/teams/127.png,True,123,Sport Recife,https://media.api-sports.io/football/teams/123.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
36284,"Jailson Macedo Freitas, Brazil",UTC,2016-05-14T21:30:00+00:00,1463261400,1463261400.0,1463265000.0,,Arena Independência,Belo Horizonte,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2016,Regular Season - 1,1062,Atletico-MG,https://media.api-sports.io/football/teams/1062.png,True,128,Santos,https://media.api-sports.io/football/teams/128.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
36283,"Jean Pierre Goncalves Lima, Brazil",UTC,2016-05-15T00:00:00+00:00,1463270400,1463270400.0,1463274000.0,,Estádio Couto Pereira,Curitiba,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2016,Regular Season - 1,147,Coritiba,https://media.api-sports.io/football/teams/147.png,True,135,Cruzeiro,https://media.api-sports.io/football/teams/135.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
36281,"Braulio Da Silva Machado, Brazil",UTC,2016-05-15T14:00:00+00:00,1463320800,1463320800.0,1463324400.0,,Estadio Raulino de Oliveira,Volta Redonda,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2016,Regular Season - 1,120,Botafogo,https://media.api-sports.io/football/teams/120.png,False,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,
36282,"Pablo Dos Santos Alves, Brazil",UTC,2016-05-15T14:00:00+00:00,1463320800,1463320800.0,1463324400.0,,Estádio do Arruda,Recife,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2016,Regular Season - 1,753,Santa Cruz,https://media.api-sports.io/football/teams/753.png,True,136,Vitoria,https://media.api-sports.io/football/teams/136.png,False,4.0,1.0,2.0,0.0,4.0,1.0,,,,
36278,"Thiago Duarte Peixoto, Brazil",UTC,2016-05-15T19:00:00+00:00,1463338800,1463338800.0,1463342400.0,,Arena Independência,Belo Horizonte,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2016,Regular Season - 1,125,America Mineiro,https://media.api-sports.io/football/teams/125.png,False,124,Fluminense,https://media.api-sports.io/football/teams/124.png,True,0.0,1.0,0.0,1.0,0.0,1.0,,,,
36279,"Wilton Pereira Sampaio, Brazil",UTC,2016-05-15T19:00:00+00:00,1463338800,1463338800.0,1463342400.0,,Arena Corinthians,Sao Paulo,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2016,Regular Season - 1,131,Corinthians,https://media.api-sports.io/football/teams/131.png,,130,Gremio,https://media.api-sports.io/football/teams/130.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
36280,"Emerson De Almeida Ferreira, Brazil",UTC,2016-05-15T19:00:00+00:00,1463338800,1463338800.0,1463342400.0,,Orlando Scarpelli,Florianopolis,Match Finished,FT,90.0,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2016,Regular Season - 1,137,Figueirense,https://media.api-sports.io/football/teams/137.png,,139,Ponte Preta,https://media.api-sports.io/football/teams/139.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
