fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,fixture_status_extra,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,league_standings,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away
1180355,Rodrigo José Pereira de Lima,UTC,2024-04-13T21:30:00+00:00,1713043800,1713043800,1713047400,244,Estádio José Pinheiro Borda,"Porto Alegre, Rio Grande do Sul",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 1,True,119,Internacional,https://media.api-sports.io/football/teams/119.png,True,118,Bahia,https://media.api-sports.io/football/teams/118.png,False,2,1,0,0,2,1,,,,
1180364,Bruno Pereira Vasconcelos,UTC,2024-04-13T21:30:00+00:00,1713043800,1713043800,1713047400,233,Estádio Heriberto Hülse,"Criciúma, Santa Catarina",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 1,True,140,Criciuma,https://media.api-sports.io/football/teams/140.png,,152,Juventude,https://media.api-sports.io/football/teams/152.png,,1,1,1,0,1,1,,,,
1180358,Maguielson Lima Barbosa,UTC,2024-04-14T00:00:00+00:00,1713052800,1713052800,1713056400,,Estadio Jornalista Mário Filho,"Rio de Janeiro, Rio de Janeiro",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 1,True,124,Fluminense,https://media.api-sports.io/football/teams/124.png,,794,RB Bragantino,https://media.api-sports.io/football/teams/794.png,,2,2,1,0,2,2,,,,
1180361,Alex Gomes,UTC,2024-04-14T00:00:00+00:00,1713052800,1713052800,1713056400,20813,MorumBIS,"São Paulo, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 1,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,False,154,Fortaleza EC,https://media.api-sports.io/football/teams/154.png,True,1,2,0,0,1,2,,,,
1180360,Yuri Elino Ferreira da Cruz,UTC,2024-04-14T19:00:00+00:00,1713121200,1713121200,1713124800,11531,Neo Química Arena,"São Paulo, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 1,True,131,Corinthians,https://media.api-sports.io/football/teams/131.png,,1062,Atletico-MG,https://media.api-sports.io/football/teams/1062.png,,0,0,0,0,0,0,,,,
1180359,Flavio Rodrigues De Souza,UTC,2024-04-14T19:00:00+00:00,1713121200,1713121200,1713124800,19377,Estádio São Januário,"Rio de Janeiro, Rio de Janeiro",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 1,True,133,Vasco DA Gama,https://media.api-sports.io/football/teams/133.png,True,130,Gremio,https://media.api-sports.io/football/teams/130.png,False,2,1,2,0,2,1,,,,
1180362,Jonathan Benkenstein Pinheiro,UTC,2024-04-14T19:00:00+00:00,1713121200,1713121200,1713124800,,Ligga Arena,"Curitiba, Paraná",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 1,True,134,Atletico Paranaense,https://media.api-sports.io/football/teams/134.png,True,1193,Cuiaba,https://media.api-sports.io/football/teams/1193.png,False,4,0,3,0,4,0,,,,
1180363,André Luiz,UTC,2024-04-14T19:00:00+00:00,1713121200,1713121200,1713124800,,Estádio do Governo do Estado de Goiás,"Goiânia, Goiás",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 1,True,144,Atletico Goianiense,https://media.api-sports.io/football/teams/144.png,False,127,Flamengo,https://media.api-sports.io/football/teams/127.png,True,1,2,0,1,1,2,,,,
1180356,Matheus Delgado Candançan,UTC,2024-04-14T20:00:00+00:00,1713124800,1713124800,1713128400,234,Estádio Governador Magalhães Pinto,"Belo Horizonte, Minas Gerais",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 1,True,135,Cruzeiro,https://media.api-sports.io/football/teams/135.png,True,120,Botafogo,https://media.api-sports.io/football/teams/120.png,False,3,2,1,1,3,2,,,,
1180357,Braulio da Silva Machado,UTC,2024-04-14T21:30:00+00:00,1713130200,1713130200,1713133800,281,Estádio Manoel Barradas,"Salvador, Bahia",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2024,Regular Season - 1,True,136,Vitoria,https://media.api-sports.io/football/teams/136.png,False,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,True,0,1,0,1,0,1,,,,
