fixture_id,fixture_date,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_short,league_id,league_season,league_round,teams_home_id,teams_home_name,teams_away_id,teams_away_name,goals_home,goals_away,score_fulltime_home,score_fulltime_away,kickoff_time_known,source
9020150001,2015-02-17T22:15:00+00:00,,Estadio Nacional Julio Martínez Prádanos,Santiago,FT,13,2015,Group Stage - 1,2323,Universidad de Chile,1148,Emelec,0,1,0,1,True,2015 Copa Libertadores second stage
9020150002,2015-02-17T22:15:00+00:00,,Estadio Gran Parque Central,Montevideo,FT,13,2015,Group Stage - 1,2360,Montevideo Wanderers,2806,Zamora,3,2,3,2,True,2015 Copa Libertadores second stage
9020150003,2015-02-18T00:30:00+00:00,,Estadio Polideportivo de Pueblo Nuevo,San Cristóbal,FT,13,2015,Group Stage - 1,2807,Deportivo Táchira,436,Racing,0,5,0,5,True,2015 Copa Libertadores second stage
9020150004,2015-02-18T00:30:00+00:00,,Estadio Hernando Siles,La Paz,FT,13,2015,Group Stage - 1,3711,The Strongest,119,Internacional,3,1,3,1,True,2015 Copa Libertadores second stage
9020150005,2015-02-18T02:45:00+00:00,,Estadio Jalisco,Guadalajara,FT,13,2015,Group Stage - 1,8000004,Atlas,1139,Santa Fe,0,1,0,1,True,2015 Copa Libertadores second stage
9020150006,2015-02-18T21:45:00+00:00,,Estadio Santa Laura-Universidad SEK,Independencia,FT,13,2015,Group Stage - 1,2318,Palestino,451,Boca Juniors,0,2,0,2,True,2015 Copa Libertadores second stage
9020150007,2015-02-18T21:45:00+00:00,,Estadio Defensores del Chaco,Asunción,FT,13,2015,Group Stage - 1,1174,Guaraní,2546,Sporting Cristal,2,2,2,2,True,2015 Copa Libertadores second stage
9020150008,2015-02-19T00:00:00+00:00,,Estadio Monumental David Arellano,Santiago,FT,13,2015,Group Stage - 1,2315,Colo-Colo,1062,Atletico-MG,2,0,2,0,True,2015 Copa Libertadores second stage
9020150009,2015-02-19T00:00:00+00:00,,Arena Corinthians,São Paulo,FT,13,2015,Group Stage - 1,131,Corinthians,126,Sao Paulo,2,0,2,0,True,2015 Copa Libertadores second stage
9020150010,2015-02-19T02:15:00+00:00,,Estadio Universitario,San Nicolás de los Garza,FT,13,2015,Group Stage - 1,8000035,Tigres UANL,8000022,Juan Aurich,3,0,3,0,True,2015 Copa Libertadores second stage
9020150011,2015-02-19T22:45:00+00:00,,Estadio Dr. Nicolás Léoz,Asunción,FT,13,2015,Group Stage - 1,1179,Libertad,1137,Atlético Nacional,2,2,2,2,True,2015 Copa Libertadores second stage
9020150012,2015-02-19T22:45:00+00:00,,Estadio Centenario,Montevideo,FT,13,2015,Group Stage - 1,2352,Danubio,460,San Lorenzo,1,2,1,2,True,2015 Copa Libertadores second stage
9020150013,2015-02-20T01:00:00+00:00,,Estadio Jesús Bermúdez,Oruro,FT,13,2015,Group Stage - 1,3710,San José,435,River Plate,2,0,2,0,True,2015 Copa Libertadores second stage
9020150014,2015-02-24T22:00:00+00:00,,Estadio Tomás Adolfo Ducó,Buenos Aires,FT,13,2015,Group Stage - 1,445,Huracán,2824,Mineros,2,2,2,2,True,2015 Copa Libertadores second stage
9020150015,2015-02-25T00:15:00+00:00,,Estadio Presidente Juan Domingo Perón,Avellaneda,FT,13,2015,Group Stage - 2,436,Racing,1174,Guaraní,4,1,4,1,True,2015 Copa Libertadores second stage
9020150016,2015-02-25T02:30:00+00:00,,Estadio Jocay,Manta,FT,13,2015,Group Stage - 2,1148,Emelec,3711,The Strongest,3,0,3,0,True,2015 Copa Libertadores second stage
9020150017,2015-02-25T02:30:00+00:00,,Estadio Nacional,Lima,FT,13,2015,Group Stage - 2,2546,Sporting Cristal,2807,Deportivo Táchira,1,1,1,1,True,2015 Copa Libertadores second stage
