fixture_id,fixture_date,team_name,team_id,opponent_name,round_,season,league_name,opponent_id,goals_for,goals_against,points,venue,ongoing,result,cum_sum_points,cum_sum_goals_for,cum_sum_goals_against,cum_sum_wins,cum_sum_draws,cum_sum_loses,last_5_matches,last_10_matches,last_3_matches,last_match,next_match,last_venue,next_venue,last_match_goals_for,next_match_goals_for,last_match_goals_against,next_match_goals_against,rank_,final_rank_
1180468,2024-06-27 19:00:00,Fluminense,124,Vitoria,12,2024,Serie A,136,0.0,1.0,0,home,False,lose,6.0,10.0,20.0,1.0,3.0,8.0,1.0,5.0,0.0,0.0,0.0,home,away,0.0,0.0,1.0,1.0,20,13
1180712,2024-12-01 18:30:00,Fluminense,124,Atletico Paranaense,36,2024,Serie A,134,1.0,1.0,1,away,False,draw,40.0,31.0,39.0,10.0,10.0,16.0,3.0,12.0,2.0,1.0,3.0,home,home,0.0,1.0,0.0,0.0,16,13
1180698,2024-11-26 19:00:00,Fluminense,124,Criciuma,35,2024,Serie A,140,0.0,0.0,1,home,False,draw,39.0,30.0,38.0,10.0,9.0,16.0,5.0,11.0,2.0,1.0,1.0,home,away,2.0,1.0,2.0,1.0,15,13
1180718,2024-12-05 20:00:00,Fluminense,124,Cuiaba,37,2024,Serie A,1193,1.0,0.0,3,home,False,win,43.0,32.0,39.0,11.0,10.0,16.0,4.0,13.0,3.0,1.0,3.0,away,away,1.0,1.0,1.0,0.0,15,13
1180558,2024-08-04 16:00:00,Fluminense,124,Bahia,21,2024,Serie A,118,1.0,0.0,3,home,False,win,20.0,16.0,24.0,5.0,5.0,10.0,10.0,11.0,9.0,3.0,0.0,away,away,1.0,0.0,0.0,2.0,17,13
1180598,2024-09-01 18:30:00,Fluminense,124,Sao Paulo,25,2024,Serie A,126,2.0,0.0,3,home,False,win,27.0,20.0,26.0,7.0,6.0,11.0,10.0,18.0,4.0,3.0,0.0,away,away,2.0,1.0,0.0,2.0,16,13
1180358,2024-04-13 21:00:00,Fluminense,124,RB Bragantino,1,2024,Serie A,794,2.0,2.0,1,home,False,draw,1.0,2.0,2.0,0.0,1.0,0.0,,,,,0.0,,away,,1.0,,2.0,9,13
1180390,2024-04-28 16:00:00,Fluminense,124,Corinthians,4,2024,Serie A,131,0.0,3.0,0,away,False,lose,4.0,5.0,8.0,1.0,1.0,2.0,,,4.0,3.0,1.0,home,home,2.0,2.0,1.0,2.0,16,13
1180578,2024-08-17 21:00:00,Fluminense,124,Corinthians,23,2024,Serie A,131,0.0,0.0,1,home,False,draw,21.0,16.0,26.0,5.0,6.0,11.0,12.0,14.0,6.0,0.0,3.0,away,away,0.0,2.0,2.0,0.0,18,13
1180586,2024-08-24 21:00:00,Fluminense,124,Atletico-MG,24,2024,Serie A,1062,2.0,0.0,3,away,False,win,24.0,18.0,26.0,6.0,6.0,11.0,10.0,15.0,4.0,1.0,3.0,home,home,0.0,2.0,0.0,0.0,16,13
1180675,2024-11-08 19:00:00,Fluminense,124,Internacional,33,2024,Serie A,119,0.0,2.0,0,away,False,lose,37.0,28.0,36.0,10.0,7.0,16.0,10.0,16.0,4.0,1.0,1.0,home,home,2.0,2.0,2.0,2.0,14,13
1180551,2024-07-28 11:00:00,Fluminense,124,RB Bragantino,20,2024,Serie A,794,1.0,0.0,3,away,False,win,17.0,15.0,24.0,4.0,5.0,10.0,8.0,8.0,7.0,3.0,3.0,home,home,1.0,1.0,0.0,0.0,19,13
1180429,2024-06-11 20:00:00,Fluminense,124,Botafogo,8,2024,Serie A,120,0.0,1.0,0,away,False,lose,6.0,9.0,14.0,1.0,3.0,4.0,5.0,,2.0,1.0,0.0,home,home,1.0,1.0,1.0,2.0,16,13
1180475,2024-06-30 16:00:00,Fluminense,124,Gremio,13,2024,Serie A,130,0.0,1.0,0,away,False,lose,6.0,10.0,21.0,1.0,3.0,9.0,0.0,5.0,0.0,0.0,1.0,home,home,0.0,1.0,1.0,1.0,20,13
1180538,2024-07-24 21:30:00,Fluminense,124,Palmeiras,19,2024,Serie A,121,1.0,0.0,3,home,False,win,14.0,14.0,24.0,3.0,5.0,10.0,5.0,5.0,4.0,3.0,3.0,away,away,1.0,1.0,0.0,0.0,19,13
1180446,2024-06-19 21:30:00,Fluminense,124,Cruzeiro,10,2024,Serie A,135,0.0,2.0,0,away,False,lose,6.0,10.0,18.0,1.0,3.0,6.0,2.0,,1.0,0.0,0.0,home,home,1.0,0.0,2.0,1.0,20,13
1180533,2024-07-21 20:00:00,Fluminense,124,Cuiaba,18,2024,Serie A,1193,1.0,0.0,3,away,False,win,11.0,13.0,24.0,2.0,5.0,10.0,2.0,3.0,2.0,1.0,3.0,away,home,1.0,1.0,1.0,0.0,19,13
1180638,2024-10-03 21:30:00,Fluminense,124,Cruzeiro,29,2024,Serie A,135,1.0,0.0,3,home,False,win,30.0,22.0,30.0,8.0,6.0,14.0,6.0,16.0,0.0,0.0,3.0,away,away,0.0,2.0,1.0,0.0,16,13
1180688,2024-11-22 21:30:00,Fluminense,124,Fortaleza EC,34,2024,Serie A,154,2.0,2.0,1,home,False,draw,38.0,30.0,38.0,10.0,8.0,16.0,7.0,13.0,1.0,0.0,1.0,away,home,0.0,0.0,2.0,0.0,15,13
1180458,2024-06-23 16:00:00,Fluminense,124,Flamengo,11,2024,Serie A,127,0.0,1.0,0,home,False,lose,6.0,10.0,19.0,1.0,3.0,7.0,1.0,6.0,0.0,0.0,0.0,away,home,0.0,0.0,2.0,1.0,20,13
1180514,2024-07-11 20:00:00,Fluminense,124,Criciuma,16,2024,Serie A,140,1.0,1.0,1,away,False,draw,8.0,12.0,24.0,1.0,5.0,10.0,1.0,2.0,1.0,0.0,3.0,away,away,0.0,1.0,1.0,0.0,20,13
1180614,2024-09-15 16:00:00,Fluminense,124,Juventude,26,2024,Serie A,152,1.0,2.0,0,away,False,lose,27.0,21.0,28.0,7.0,6.0,12.0,10.0,20.0,7.0,3.0,0.0,home,home,2.0,0.0,0.0,1.0,16,13
1180398,2024-05-04 16:00:00,Fluminense,124,Atletico-MG,5,2024,Serie A,1062,2.0,2.0,1,home,False,draw,5.0,7.0,10.0,1.0,2.0,2.0,,,3.0,0.0,0.0,away,away,0.0,1.0,3.0,2.0,16,13
1180438,2024-06-15 21:00:00,Fluminense,124,Atletico Goianiense,9,2024,Serie A,144,1.0,2.0,0,home,False,lose,6.0,10.0,16.0,1.0,3.0,5.0,2.0,,1.0,0.0,0.0,away,away,0.0,0.0,1.0,2.0,19,13
1180488,2024-07-04 20:00:00,Fluminense,124,Internacional,14,2024,Serie A,119,1.0,1.0,1,home,False,draw,7.0,11.0,22.0,1.0,4.0,9.0,0.0,2.0,0.0,0.0,0.0,away,away,0.0,0.0,1.0,1.0,20,13
1180518,2024-10-22 19:30:00,Fluminense,124,Atletico Paranaense,17,2024,Serie A,134,1.0,0.0,3,home,False,win,36.0,25.0,30.0,10.0,6.0,14.0,6.0,16.0,6.0,3.0,0.0,away,away,2.0,1.0,0.0,2.0,4,13
1180648,2024-10-17 20:00:00,Fluminense,124,Flamengo,30,2024,Serie A,127,2.0,0.0,3,away,False,win,33.0,24.0,30.0,9.0,6.0,14.0,6.0,16.0,3.0,3.0,3.0,home,home,1.0,1.0,0.0,0.0,15,13
