rank_,team_name,p,g,w,d,l,gf,ga,gd,point_ratio
1,Flamengo,75.0,36,22.0,9.0,5.0,74.0,24.0,50.0,0.6944444
2,Palmeiras,70.0,36,21.0,7.0,8.0,60.0,32.0,28.0,0.6481481
3,Cruzeiro,68.0,35,19.0,11.0,5.0,52.0,25.0,27.0,0.64761907
4,Mirassol,63.0,35,17.0,12.0,6.0,58.0,34.0,24.0,0.6
5,Fluminense,58.0,36,17.0,7.0,12.0,46.0,38.0,8.0,0.537037
6,Botafogo,58.0,35,16.0,10.0,9.0,50.0,32.0,18.0,0.552381
7,Bahia,56.0,35,16.0,8.0,11.0,47.0,43.0,4.0,0.53333336
8,Sao Paulo,48.0,36,13.0,9.0,14.0,40.0,46.0,-6.0,0.44444445
9,Gremio,46.0,36,12.0,10.0,14.0,42.0,48.0,-6.0,0.42592594
10,RB Bragantino,45.0,36,13.0,6.0,17.0,40.0,54.0,-14.0,0.41666666
11,Corinthians,45.0,35,12.0,9.0,14.0,38.0,42.0,-4.0,0.42857143
12,Atletico-MG,45.0,35,11.0,12.0,12.0,38.0,40.0,-2.0,0.42857143
13,Vasco DA Gama,42.0,35,12.0,6.0,17.0,50.0,52.0,-2.0,0.4
14,Ceara,42.0,35,11.0,9.0,15.0,32.0,35.0,-3.0,0.4
15,Internacional,41.0,35,10.0,11.0,14.0,40.0,48.0,-8.0,0.3904762
16,Vitoria,39.0,35,9.0,12.0,14.0,32.0,48.0,-16.0,0.37142858
17,Santos,38.0,35,9.0,11.0,15.0,36.0,50.0,-14.0,0.36190477
18,Fortaleza EC,37.0,35,9.0,10.0,16.0,38.0,53.0,-15.0,0.35238096
19,Juventude,33.0,35,9.0,6.0,20.0,33.0,64.0,-31.0,0.31428573
20,Sport Recife,17.0,35,2.0,11.0,22.0,28.0,66.0,-38.0,0.16190477
