team_name,venue,goals_for_average,goals_against_average,data_points
Cuiaba,away,0.5,1.100000023841858,19
Ceara,away,0.63091641664505,1.2584118843078613,19
Atletico Goianiense,away,0.6333333253860474,1.933333396911621,19
Fluminense,away,0.6666666865348816,1.2999999523162842,19
Atletico-MG,away,0.699999988079071,1.5,19
Sport Recife,away,0.7568421363830566,2.018120527267456,19
Sao Paulo,away,0.7666666507720947,2.1666667461395264,19
Botafogo,away,0.7666666507720947,0.6333333253860474,19
Atletico Paranaense,away,0.800000011920929,1.5333333015441895,19
Corinthians,away,0.8333333134651184,1.600000023841858,19
RB Bragantino,away,0.8333333134651184,1.8666666746139526,19
Internacional,away,0.8666666746139526,1.6666666269302368,19
Criciuma,away,0.9000000357627869,1.9666668176651,19
Cuiaba,home,0.9000000357627869,1.2999999523162842,19
Atletico Goianiense,home,0.9000000357627869,0.9666666984558105,19
Mirassol,away,0.9166165590286255,1.2831579446792603,19
Bahia,away,0.9333333373069763,1.899999976158142,19
Vitoria,home,0.9666666984558105,0.6666666865348816,19
Sport Recife,home,0.9687005877494812,2.352540969848633,19
Santos,away,0.9902631640434265,1.8464337587356567,19
Gremio,away,1.0,2.0333333015441895,19
Juventude,away,1.0,1.9666668176651,19
Criciuma,home,1.0666667222976685,1.600000023841858,19
Santos,home,1.0986014604568481,1.0263158082962036,19
Fortaleza EC,home,1.100000023841858,1.2000000476837158,19
Cruzeiro,away,1.1333333253860474,0.8333333134651184,19
Ceara,home,1.1625113487243652,0.9624059796333313,19
Vitoria,away,1.1666666269302368,1.7333333492279053,19
Vasco DA Gama,away,1.2000000476837158,1.4333332777023315,19
Juventude,home,1.2000000476837158,1.4333332777023315,19
championship,both,1.2298772169167804,1.2298772169167804,1466
Atletico Paranaense,home,1.2333333492279053,1.100000023841858,19
Fortaleza EC,away,1.2666666507720947,1.600000023841858,19
RB Bragantino,home,1.2666666507720947,1.2000000476837158,19
Internacional,home,1.2999999523162842,0.9000000357627869,19
Sao Paulo,home,1.4333332777023315,1.1333333253860474,19
Palmeiras,away,1.4666666984558105,1.4333332777023315,19
Gremio,home,1.5333333015441895,0.9333333373069763,19
Atletico-MG,home,1.5666667222976685,0.9666666984558105,19
Vasco DA Gama,home,1.6333333253860474,1.4666666984558105,19
Palmeiras,home,1.6333333253860474,0.4333333373069763,19
Flamengo,away,1.6999999284744263,1.0333333015441895,19
Corinthians,home,1.6999999284744263,0.699999988079071,19
Cruzeiro,home,1.7666666507720947,0.6000000238418579,19
Bahia,home,1.8000000715255737,0.7333333492279053,19
Fluminense,home,1.933333396911621,0.4333333373069763,19
Botafogo,home,2.066666603088379,1.4333332777023315,19
Mirassol,home,2.1447441577911377,0.6538112163543701,19
Flamengo,home,2.4666666984558105,0.6000000238418579,19
