type,date,team,position
brasileirao_positions,2025-11-23,Flamengo,{1: 1}
brasileirao_positions,2025-11-23,Palmeiras,{2: 1}
brasileirao_positions,2025-11-23,Cruzeiro,{3: 1}
brasileirao_positions,2025-11-23,Mirassol,{4: 1}
brasileirao_positions,2025-11-23,Botafogo,{5: 1}
brasileirao_positions,2025-11-23,Fluminense,{6: 1}
brasileirao_positions,2025-11-23,Bahia,{7: 1}
brasileirao_positions,2025-11-23,Sao Paulo,{8: 1}
brasileirao_positions,2025-11-23,RB Bragantino,{9: 1}
brasileirao_positions,2025-11-23,Corinthians,{10: 1}
brasileirao_positions,2025-11-23,Ceara,{11: 1}
brasileirao_positions,2025-11-23,Vasco DA Gama,{12: 1}
brasileirao_positions,2025-11-23,Atletico-MG,{13: 1}
brasileirao_positions,2025-11-23,Gremio,{14: 1}
brasileirao_positions,2025-11-23,Internacional,{15: 1}
brasileirao_positions,2025-11-23,Santos,{16: 1}
brasileirao_positions,2025-11-23,Vitoria,{17: 1}
brasileirao_positions,2025-11-23,Fortaleza EC,{18: 1}
brasileirao_positions,2025-11-23,Juventude,{19: 1}
brasileirao_positions,2025-11-23,Sport Recife,{20: 1}
