type,date,points,position,times
brasileirao_relegation_points,2025-08-03,76.0,1,96
brasileirao_relegation_points,2025-08-03,76.0,2,25
brasileirao_relegation_points,2025-08-03,76.0,3,3
brasileirao_relegation_points,2025-08-03,72.0,2,102
brasileirao_relegation_points,2025-08-03,72.0,3,37
brasileirao_relegation_points,2025-08-03,72.0,1,84
brasileirao_relegation_points,2025-08-03,72.0,4,2
brasileirao_relegation_points,2025-08-03,70.0,4,15
brasileirao_relegation_points,2025-08-03,70.0,1,48
brasileirao_relegation_points,2025-08-03,70.0,3,80
brasileirao_relegation_points,2025-08-03,70.0,2,121
brasileirao_relegation_points,2025-08-03,61.0,5,158
brasileirao_relegation_points,2025-08-03,61.0,3,23
brasileirao_relegation_points,2025-08-03,61.0,4,92
brasileirao_relegation_points,2025-08-03,61.0,7,35
brasileirao_relegation_points,2025-08-03,61.0,6,97
brasileirao_relegation_points,2025-08-03,61.0,8,3
brasileirao_relegation_points,2025-08-03,61.0,2,1
brasileirao_relegation_points,2025-08-03,54.0,6,15
brasileirao_relegation_points,2025-08-03,54.0,10,115
brasileirao_relegation_points,2025-08-03,54.0,8,161
brasileirao_relegation_points,2025-08-03,54.0,9,206
brasileirao_relegation_points,2025-08-03,54.0,11,49
brasileirao_relegation_points,2025-08-03,54.0,7,69
brasileirao_relegation_points,2025-08-03,54.0,12,6
brasileirao_relegation_points,2025-08-03,54.0,5,3
brasileirao_relegation_points,2025-08-03,53.0,7,25
brasileirao_relegation_points,2025-08-03,53.0,6,3
brasileirao_relegation_points,2025-08-03,53.0,8,119
brasileirao_relegation_points,2025-08-03,53.0,9,194
brasileirao_relegation_points,2025-08-03,53.0,10,196
brasileirao_relegation_points,2025-08-03,53.0,11,90
brasileirao_relegation_points,2025-08-03,53.0,12,31
brasileirao_relegation_points,2025-08-03,53.0,13,4
brasileirao_relegation_points,2025-08-03,52.0,8,49
brasileirao_relegation_points,2025-08-03,52.0,11,168
brasileirao_relegation_points,2025-08-03,52.0,9,157
brasileirao_relegation_points,2025-08-03,52.0,10,225
brasileirao_relegation_points,2025-08-03,52.0,13,15
brasileirao_relegation_points,2025-08-03,52.0,12,60
brasileirao_relegation_points,2025-08-03,52.0,7,7
brasileirao_relegation_points,2025-08-03,52.0,14,1
brasileirao_relegation_points,2025-08-03,51.0,9,79
brasileirao_relegation_points,2025-08-03,51.0,10,173
brasileirao_relegation_points,2025-08-03,51.0,7,3
brasileirao_relegation_points,2025-08-03,51.0,8,23
brasileirao_relegation_points,2025-08-03,51.0,11,212
brasileirao_relegation_points,2025-08-03,51.0,12,138
brasileirao_relegation_points,2025-08-03,51.0,13,39
brasileirao_relegation_points,2025-08-03,51.0,14,5
brasileirao_relegation_points,2025-08-03,48.0,11,71
brasileirao_relegation_points,2025-08-03,48.0,12,164
brasileirao_relegation_points,2025-08-03,48.0,13,198
brasileirao_relegation_points,2025-08-03,48.0,14,119
brasileirao_relegation_points,2025-08-03,48.0,15,35
brasileirao_relegation_points,2025-08-03,48.0,16,6
brasileirao_relegation_points,2025-08-03,48.0,9,2
brasileirao_relegation_points,2025-08-03,48.0,10,11
brasileirao_relegation_points,2025-08-03,46.0,13,159
brasileirao_relegation_points,2025-08-03,46.0,14,205
brasileirao_relegation_points,2025-08-03,46.0,16,44
brasileirao_relegation_points,2025-08-03,46.0,15,148
brasileirao_relegation_points,2025-08-03,46.0,12,53
brasileirao_relegation_points,2025-08-03,46.0,17,8
brasileirao_relegation_points,2025-08-03,46.0,11,5
