type,date,team,n_simulations
brasileirao_title,2025-03-29,Corinthians,144
brasileirao_title,2025-03-29,Atletico-MG,2
brasileirao_title,2025-03-29,Sport Recife,3
brasileirao_title,2025-03-29,RB Bragantino,13
brasileirao_title,2025-03-29,Internacional,47
brasileirao_title,2025-03-29,Flamengo,79
brasileirao_title,2025-03-29,Palmeiras,69
brasileirao_title,2025-03-29,Fortaleza EC,90
brasileirao_title,2025-03-29,Botafogo,155
brasileirao_title,2025-03-29,Ceara,7
brasileirao_title,2025-03-29,Bahia,4
brasileirao_title,2025-03-29,Gremio,12
brasileirao_title,2025-03-29,Juventude,15
brasileirao_title,2025-03-29,Sao Paulo,25
brasileirao_title,2025-03-29,Cruzeiro,9
brasileirao_title,2025-03-29,Fluminense,4
brasileirao_title,2025-03-29,Santos,9
brasileirao_title,2025-03-29,Vitoria,10
brasileirao_title,2025-03-29,Vasco DA Gama,3
brasileirao_relegation,2025-03-29,Sport Recife,270
brasileirao_relegation,2025-03-29,Vasco DA Gama,270
brasileirao_relegation,2025-03-29,Mirassol,335
brasileirao_relegation,2025-03-29,Bahia,238
brasileirao_relegation,2025-03-29,Fluminense,242
brasileirao_relegation,2025-03-29,Cruzeiro,111
brasileirao_relegation,2025-03-29,Vitoria,196
brasileirao_relegation,2025-03-29,RB Bragantino,117
brasileirao_relegation,2025-03-29,Atletico-MG,278
brasileirao_relegation,2025-03-29,Ceara,150
brasileirao_relegation,2025-03-29,Sao Paulo,57
brasileirao_relegation,2025-03-29,Internacional,54
brasileirao_relegation,2025-03-29,Santos,136
brasileirao_relegation,2025-03-29,Gremio,146
brasileirao_relegation,2025-03-29,Juventude,121
brasileirao_relegation,2025-03-29,Botafogo,9
brasileirao_relegation,2025-03-29,Fortaleza EC,13
brasileirao_relegation,2025-03-29,Palmeiras,21
brasileirao_relegation,2025-03-29,Flamengo,27
brasileirao_relegation,2025-03-29,Corinthians,9
brasileirao_title,2025-03-30,Flamengo,97
brasileirao_title,2025-03-30,Cruzeiro,12
brasileirao_title,2025-03-30,Fortaleza EC,90
brasileirao_title,2025-03-30,Corinthians,129
brasileirao_title,2025-03-30,Atletico-MG,2
brasileirao_title,2025-03-30,Botafogo,127
brasileirao_title,2025-03-30,Internacional,63
brasileirao_title,2025-03-30,Ceara,15
brasileirao_title,2025-03-30,Palmeiras,64
brasileirao_title,2025-03-30,Bahia,7
brasileirao_title,2025-03-30,Fluminense,2
brasileirao_title,2025-03-30,Sao Paulo,42
brasileirao_title,2025-03-30,Gremio,10
brasileirao_title,2025-03-30,Sport Recife,3
brasileirao_title,2025-03-30,Juventude,14
brasileirao_title,2025-03-30,RB Bragantino,15
brasileirao_title,2025-03-30,Mirassol,1
brasileirao_title,2025-03-30,Vitoria,4
brasileirao_title,2025-03-30,Vasco DA Gama,2
brasileirao_title,2025-03-30,Santos,1
brasileirao_relegation,2025-03-30,Fluminense,236
brasileirao_relegation,2025-03-30,Vasco DA Gama,219
brasileirao_relegation,2025-03-30,Gremio,133
brasileirao_relegation,2025-03-30,Mirassol,329
brasileirao_relegation,2025-03-30,Santos,298
brasileirao_relegation,2025-03-30,Vitoria,151
brasileirao_relegation,2025-03-30,Sao Paulo,50
brasileirao_relegation,2025-03-30,Sport Recife,272
brasileirao_relegation,2025-03-30,Atletico-MG,274
brasileirao_relegation,2025-03-30,Bahia,230
brasileirao_relegation,2025-03-30,Cruzeiro,142
brasileirao_relegation,2025-03-30,Ceara,122
brasileirao_relegation,2025-03-30,RB Bragantino,116
brasileirao_relegation,2025-03-30,Juventude,127
brasileirao_relegation,2025-03-30,Botafogo,9
brasileirao_relegation,2025-03-30,Corinthians,12
brasileirao_relegation,2025-03-30,Palmeiras,23
brasileirao_relegation,2025-03-30,Flamengo,18
brasileirao_relegation,2025-03-30,Internacional,26
brasileirao_relegation,2025-03-30,Fortaleza EC,13
brasileirao_title,2025-03-31,Flamengo,97
brasileirao_title,2025-03-31,Botafogo,153
brasileirao_title,2025-03-31,Corinthians,137
brasileirao_title,2025-03-31,Internacional,55
brasileirao_title,2025-03-31,Sao Paulo,30
brasileirao_title,2025-03-31,Palmeiras,68
brasileirao_title,2025-03-31,Cruzeiro,16
brasileirao_title,2025-03-31,Fortaleza EC,94
brasileirao_title,2025-03-31,Gremio,11
brasileirao_title,2025-03-31,Atletico-MG,1
brasileirao_title,2025-03-31,Juventude,9
brasileirao_title,2025-03-31,Mirassol,3
brasileirao_title,2025-03-31,Bahia,5
brasileirao_title,2025-03-31,Santos,2
brasileirao_title,2025-03-31,RB Bragantino,9
brasileirao_title,2025-03-31,Fluminense,4
brasileirao_title,2025-03-31,Ceara,2
brasileirao_title,2025-03-31,Vitoria,2
brasileirao_title,2025-03-31,Sport Recife,1
brasileirao_title,2025-03-31,Vasco DA Gama,1
brasileirao_relegation,2025-03-31,Atletico-MG,257
brasileirao_relegation,2025-03-31,Bahia,207
brasileirao_relegation,2025-03-31,Gremio,119
brasileirao_relegation,2025-03-31,Ceara,243
brasileirao_relegation,2025-03-31,Santos,292
brasileirao_relegation,2025-03-31,Mirassol,305
brasileirao_relegation,2025-03-31,Sport Recife,255
brasileirao_relegation,2025-03-31,Sao Paulo,44
brasileirao_relegation,2025-03-31,Vasco DA Gama,221
brasileirao_relegation,2025-03-31,Vitoria,184
brasileirao_relegation,2025-03-31,Cruzeiro,103
brasileirao_relegation,2025-03-31,Juventude,102
brasileirao_relegation,2025-03-31,Fluminense,227
brasileirao_relegation,2025-03-31,Flamengo,16
brasileirao_relegation,2025-03-31,RB Bragantino,160
brasileirao_relegation,2025-03-31,Corinthians,7
