fixture_id,fixture_date,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_short,league_id,league_season,league_round,teams_home_id,teams_home_name,teams_away_id,teams_away_name,goals_home,goals_away,score_fulltime_home,score_fulltime_away,kickoff_time_known,source
9520160001,2016-08-09T22:00:00+00:00,,Estadio Metropolitano de Lara,Barquisimeto,FT,11,2016,1st Round,2812,Deportivo Lara,1135,Junior,1,3,1,3,True,2016 Copa Sudamericana elimination stages
9520160002,2016-08-09T22:15:00+00:00,,Estadio Feliciano Cáceres,Luque,FT,11,2016,1st Round,1183,Sportivo Luqueño,2348,Peñarol,0,0,0,0,True,2016 Copa Sudamericana elimination stages
9520160003,2016-08-10T00:15:00+00:00,,Estadio Luis Franzini,Montevideo,FT,11,2016,1st Round,2357,Fénix,1176,Cerro Porteño,1,0,1,0,True,2016 Copa Sudamericana elimination stages
9520160004,2016-08-10T00:30:00+00:00,,Estadio Víctor Agustín Ugarte,Potosí,FT,11,2016,1st Round,8000008,Real Potosí,2994,Universidad Católica,3,1,3,1,True,2016 Copa Sudamericana elimination stages
9520160005,2016-08-10T02:30:00+00:00,,Estadio Nacional,Lima,FT,11,2016,1st Round,2540,Universitario,1148,Emelec,0,3,0,3,True,2016 Copa Sudamericana elimination stages
9520160006,2016-08-10T22:00:00+00:00,,Estadio Alcaldesa Ester Roa Rebolledo,Concepción,FT,11,2016,1st Round,8000003,Universidad de Concepción,3702,Bolívar,2,0,2,0,True,2016 Copa Sudamericana elimination stages
9520160007,2016-08-11T00:00:00+00:00,,Estadio Luis Alfonso Giagni,Asunción,FT,11,2016,1st Round,1177,Sol de América,3705,Jorge Wilstermann,1,1,1,1,True,2016 Copa Sudamericana elimination stages
9520160008,2016-08-11T00:00:00+00:00,,Estadio Luis Franzini,Montevideo,FT,11,2016,1st Round,2360,Montevideo Wanderers,8000026,O'Higgins,0,0,0,0,True,2016 Copa Sudamericana elimination stages
9520160009,2016-08-11T02:15:00+00:00,,Estadio Monumental Isidro Romero Carbo,Guayaquil,FT,11,2016,1st Round,1152,Barcelona,2806,Zamora,1,1,1,1,True,2016 Copa Sudamericana elimination stages
9520160010,2016-08-11T02:30:00+00:00,,Estadio Atanasio Girardot,Medellín,FT,11,2016,1st Round,1128,Independiente Medellín,1157,Universidad Católica,1,1,1,1,True,2016 Copa Sudamericana elimination stages
9520160011,2016-08-11T21:30:00+00:00,,Estadio José Antonio Anzoátegui,Barcelona,FT,11,2016,1st Round,8000012,Deportivo Anzoátegui,2555,Sport Huancayo,2,1,2,1,True,2016 Copa Sudamericana elimination stages
9520160012,2016-08-11T21:30:00+00:00,,Estadio Gonzalo Pozo Ripalda,Quito,FT,11,2016,1st Round,1156,Aucas,8000030,Real Garcilaso,2,1,2,1,True,2016 Copa Sudamericana elimination stages
9520160013,2016-08-11T23:00:00+00:00,,Estadio Ramón Tahuichi Aguilera,Santa Cruz de la Sierra,FT,11,2016,1st Round,3701,Blooming,2355,Plaza Colonia,1,0,1,0,True,2016 Copa Sudamericana elimination stages
9520160014,2016-08-11T23:45:00+00:00,,Estadio Monumental David Arellano,Santiago,FT,11,2016,1st Round,2318,Palestino,1179,Libertad,1,0,1,0,True,2016 Copa Sudamericana elimination stages
9520160015,2016-08-12T01:15:00+00:00,,Estadio Manuel Murillo Toro,Ibagué,FT,11,2016,1st Round,1142,Deportes Tolima,2813,Deportivo La Guaira,0,0,0,0,True,2016 Copa Sudamericana elimination stages
9520160016,2016-08-12T02:00:00+00:00,,Estadio Alejandro Villanueva,Lima,FT,11,2016,1st Round,8000014,Deportivo Municipal,1137,Atlético Nacional,0,5,0,5,True,2016 Copa Sudamericana elimination stages
9520160017,2016-08-16T21:00:00+00:00,,Estadio Hernando Siles,La Paz,FT,11,2016,1st Round,3702,Bolívar,8000003,Universidad de Concepción,3,0,3,0,True,2016 Copa Sudamericana elimination stages
9520160018,2016-08-16T23:30:00+00:00,,Estadio El Teniente,Rancagua,PEN,11,2016,1st Round,8000026,O'Higgins,2360,Montevideo Wanderers,0,0,0,0,True,2016 Copa Sudamericana elimination stages
9520160019,2016-08-16T23:30:00+00:00,,Estadio Campeón del Siglo,Montevideo,FT,11,2016,1st Round,2348,Peñarol,1183,Sportivo Luqueño,1,1,1,1,True,2016 Copa Sudamericana elimination stages
9520160020,2016-08-17T02:00:00+00:00,,Estadio Christian Benítez Betancourt,Guayaquil,FT,11,2016,1st Round,1148,Emelec,2540,Universitario,3,1,3,1,True,2016 Copa Sudamericana elimination stages
9520160021,2016-08-17T02:00:00+00:00,,Estadio Metropolitano Roberto Meléndez,Barranquilla,FT,11,2016,1st Round,1135,Junior,2812,Deportivo Lara,2,1,2,1,True,2016 Copa Sudamericana elimination stages
9520160022,2016-08-17T21:30:00+00:00,,Estadio Profesor Alberto Suppici,Colonia del Sacramento,PEN,11,2016,1st Round,2355,Plaza Colonia,3701,Blooming,1,0,1,0,True,2016 Copa Sudamericana elimination stages
9520160023,2016-08-17T21:30:00+00:00,,Estadio Metropolitano de Lara,Barquisimeto,FT,11,2016,1st Round,2813,Deportivo La Guaira,1142,Deportes Tolima,1,0,1,0,True,2016 Copa Sudamericana elimination stages
9520160024,2016-08-17T21:30:00+00:00,,Estadio Olímpico Atahualpa,Quito,FT,11,2016,1st Round,1157,Universidad Católica,1128,Independiente Medellín,0,1,0,1,True,2016 Copa Sudamericana elimination stages
9520160025,2016-08-18T00:00:00+00:00,,Estadio Defensores del Chaco,Asunción,FT,11,2016,1st Round,1176,Cerro Porteño,2357,Fénix,2,0,2,0,True,2016 Copa Sudamericana elimination stages
9520160026,2016-08-18T00:00:00+00:00,,Estadio San Carlos de Apoquindo,Santiago,FT,11,2016,1st Round,2994,Universidad Católica,8000008,Real Potosí,1,1,1,1,True,2016 Copa Sudamericana elimination stages
9520160027,2016-08-18T02:15:00+00:00,,Estadio Atanasio Girardot,Medellín,FT,11,2016,1st Round,1137,Atlético Nacional,8000014,Deportivo Municipal,1,0,1,0,True,2016 Copa Sudamericana elimination stages
9520160028,2016-08-18T02:15:00+00:00,,Estadio Monumental de la UNSA,Arequipa,FT,11,2016,1st Round,8000030,Real Garcilaso,1156,Aucas,1,0,1,0,True,2016 Copa Sudamericana elimination stages
9520160029,2016-08-18T20:00:00+00:00,,Estadio Huancayo,Huancayo,FT,11,2016,1st Round,2555,Sport Huancayo,8000012,Deportivo Anzoátegui,1,0,1,0,True,2016 Copa Sudamericana elimination stages
9520160030,2016-08-18T21:30:00+00:00,,Estadio Félix Capriles,Cochabamba,PEN,11,2016,1st Round,3705,Jorge Wilstermann,1177,Sol de América,1,1,1,1,True,2016 Copa Sudamericana elimination stages
9520160031,2016-08-18T22:00:00+00:00,,Estadio Agustín Tovar,Barinas,PEN,11,2016,1st Round,2806,Zamora,1152,Barcelona,1,1,1,1,True,2016 Copa Sudamericana elimination stages
9520160032,2016-08-19T00:30:00+00:00,,Estadio Dr. Nicolás Léoz,Asunción,FT,11,2016,1st Round,1179,Libertad,2318,Palestino,0,3,0,3,True,2016 Copa Sudamericana elimination stages
9520160033,2016-08-23T22:15:00+00:00,,Estadio Florencio Sola,Banfield,FT,11,2016,2nd Round,449,Banfield,460,San Lorenzo,2,0,2,0,True,2016 Copa Sudamericana elimination stages
9520160034,2016-08-23T22:15:00+00:00,,Estadio Metropolitano de Lara,Barquisimeto,FT,11,2016,2nd Round,2813,Deportivo La Guaira,1148,Emelec,4,2,4,2,True,2016 Copa Sudamericana elimination stages
9520160035,2016-08-24T00:45:00+00:00,,Estadio Ramón Tahuichi Aguilera,Santa Cruz de la Sierra,FT,11,2016,2nd Round,3701,Blooming,1135,Junior,0,2,0,2,True,2016 Copa Sudamericana elimination stages
9520160036,2016-08-24T20:00:00+00:00,,Estadio Inca Garcilaso de la Vega,Cusco,FT,11,2016,2nd Round,8000030,Real Garcilaso,2318,Palestino,2,2,2,2,True,2016 Copa Sudamericana elimination stages
9520160037,2016-08-24T22:15:00+00:00,,Estadio Defensores del Chaco,Asunción,FT,11,2016,2nd Round,1176,Cerro Porteño,8000008,Real Potosí,6,0,6,0,True,2016 Copa Sudamericana elimination stages
9520160038,2016-08-24T22:15:00+00:00,,Estadio Hernando Siles,La Paz,FT,11,2016,2nd Round,3702,Bolívar,1137,Atlético Nacional,1,1,1,1,True,2016 Copa Sudamericana elimination stages
9520160039,2016-08-25T00:45:00+00:00,,Estadio Ciudad de La Plata,La Plata,FT,11,2016,2nd Round,450,Estudiantes,440,Belgrano,1,0,1,0,True,2016 Copa Sudamericana elimination stages
9520160040,2016-08-25T00:45:00+00:00,,Estádio Orlando Scarpelli,Florianópolis,FT,11,2016,2nd Round,137,Figueirense,127,Flamengo,4,2,4,2,True,2016 Copa Sudamericana elimination stages
9520160041,2016-08-25T00:45:00+00:00,,Estadio Atanasio Girardot,Medellín,FT,11,2016,2nd Round,1128,Independiente Medellín,1183,Sportivo Luqueño,3,0,3,0,True,2016 Copa Sudamericana elimination stages
9520160042,2016-08-25T00:45:00+00:00,,Arena Pernambuco,São Lourenço da Mata,FT,11,2016,2nd Round,753,Santa Cruz,123,Sport Recife,0,0,0,0,True,2016 Copa Sudamericana elimination stages
9520160043,2016-08-25T22:00:00+00:00,,Arena Pantanal,Cuiabá,FT,11,2016,2nd Round,1193,Cuiaba,132,Chapecoense-sc,1,0,1,0,True,2016 Copa Sudamericana elimination stages
9520160044,2016-08-25T22:15:00+00:00,,Estadio Ciudad de Lanús,Lanús,FT,11,2016,2nd Round,446,Lanús,453,Independiente,0,2,0,2,True,2016 Copa Sudamericana elimination stages
9520160045,2016-08-26T00:45:00+00:00,,Estadio Luis Alfonso Giagni,Asunción,FT,11,2016,2nd Round,1177,Sol de América,2555,Sport Huancayo,1,0,1,0,True,2016 Copa Sudamericana elimination stages
9520160046,2016-08-26T00:45:00+00:00,,Arena Fonte Nova,Salvador,FT,11,2016,2nd Round,136,Vitoria,147,Coritiba,2,1,2,1,True,2016 Copa Sudamericana elimination stages
9520160047,2016-08-26T00:45:00+00:00,,Estadio Agustín Tovar,Barinas,FT,11,2016,2nd Round,2806,Zamora,2360,Montevideo Wanderers,0,1,0,1,True,2016 Copa Sudamericana elimination stages
9520160048,2016-08-31T20:00:00+00:00,,Estádio Couto Pereira,Curitiba,FT,11,2016,2nd Round,147,Coritiba,136,Vitoria,1,0,1,0,True,2016 Copa Sudamericana elimination stages
9520160049,2016-09-01T00:45:00+00:00,,Arena Condá,Chapecó,FT,11,2016,2nd Round,132,Chapecoense-sc,1193,Cuiaba,3,1,3,1,True,2016 Copa Sudamericana elimination stages
9520160050,2016-09-01T00:45:00+00:00,,Estádio Kléber Andrade,Cariacica,FT,11,2016,2nd Round,127,Flamengo,137,Figueirense,3,1,3,1,True,2016 Copa Sudamericana elimination stages
9520160051,2016-09-01T00:45:00+00:00,,Arena Pernambuco,São Lourenço da Mata,FT,11,2016,2nd Round,123,Sport Recife,753,Santa Cruz,0,1,0,1,True,2016 Copa Sudamericana elimination stages
9520160052,2016-09-13T22:15:00+00:00,,Estadio Pedro Bidegain,Buenos Aires,FT,11,2016,2nd Round,460,San Lorenzo,449,Banfield,4,1,4,1,True,2016 Copa Sudamericana elimination stages
9520160053,2016-09-14T00:45:00+00:00,,Estadio Atanasio Girardot,Medellín,FT,11,2016,2nd Round,1137,Atlético Nacional,3702,Bolívar,1,0,1,0,True,2016 Copa Sudamericana elimination stages
9520160054,2016-09-14T19:00:00+00:00,,Estadio Luis Franzini,Montevideo,FT,11,2016,2nd Round,2360,Montevideo Wanderers,2806,Zamora,1,0,1,0,True,2016 Copa Sudamericana elimination stages
9520160055,2016-09-14T21:00:00+00:00,,Estadio George Capwell,Guayaquil,FT,11,2016,2nd Round,1148,Emelec,2813,Deportivo La Guaira,0,0,0,0,True,2016 Copa Sudamericana elimination stages
9520160056,2016-09-14T22:15:00+00:00,,Estadio Libertadores de América,Avellaneda,FT,11,2016,2nd Round,453,Independiente,446,Lanús,1,0,1,0,True,2016 Copa Sudamericana elimination stages
9520160057,2016-09-15T00:45:00+00:00,,Estadio Metropolitano Roberto Meléndez,Barranquilla,FT,11,2016,2nd Round,1135,Junior,3701,Blooming,1,1,1,1,True,2016 Copa Sudamericana elimination stages
9520160058,2016-09-15T19:15:00+00:00,,Estadio Huancayo,Huancayo,FT,11,2016,2nd Round,2555,Sport Huancayo,1177,Sol de América,1,1,1,1,True,2016 Copa Sudamericana elimination stages
9520160059,2016-09-15T22:15:00+00:00,,Estadio Monumental David Arellano,Santiago,FT,11,2016,2nd Round,2318,Palestino,8000030,Real Garcilaso,1,0,1,0,True,2016 Copa Sudamericana elimination stages
9520160060,2016-09-15T22:30:00+00:00,,Estadio Víctor Agustín Ugarte,Potosí,FT,11,2016,2nd Round,8000008,Real Potosí,1176,Cerro Porteño,0,1,0,1,True,2016 Copa Sudamericana elimination stages
9520160061,2016-09-16T00:45:00+00:00,,Estadio Mario Alberto Kempes,Córdoba,FT,11,2016,2nd Round,440,Belgrano,450,Estudiantes,2,0,2,0,True,2016 Copa Sudamericana elimination stages
9520160062,2016-09-16T00:45:00+00:00,,Estadio Feliciano Cáceres,Luque,FT,11,2016,2nd Round,1183,Sportivo Luqueño,1128,Independiente Medellín,2,0,2,0,True,2016 Copa Sudamericana elimination stages
9520160063,2016-09-20T23:45:00+00:00,,Estadio Luis Alfonso Giagni,Asunción,FT,11,2016,8th Finals,1177,Sol de América,1137,Atlético Nacional,1,1,1,1,True,2016 Copa Sudamericana final stages
9520160064,2016-09-21T22:15:00+00:00,,Estadio Libertadores de América,Avellaneda,FT,11,2016,8th Finals,453,Independiente,132,Chapecoense-sc,0,0,0,0,True,2016 Copa Sudamericana final stages
9520160065,2016-09-21T22:15:00+00:00,,Estadio Luis Franzini,Montevideo,FT,11,2016,8th Finals,2360,Montevideo Wanderers,1135,Junior,0,0,0,0,True,2016 Copa Sudamericana final stages
9520160066,2016-09-22T00:45:00+00:00,,Estadio Monumental David Arellano,Santiago,FT,11,2016,8th Finals,2318,Palestino,127,Flamengo,0,1,0,1,True,2016 Copa Sudamericana final stages
9520160067,2016-09-22T00:45:00+00:00,,Estádio Couto Pereira,Curitiba,FT,11,2016,8th Finals,147,Coritiba,440,Belgrano,1,2,1,2,True,2016 Copa Sudamericana final stages
9520160068,2016-09-22T00:45:00+00:00,,Estadio Atanasio Girardot,Medellín,FT,11,2016,8th Finals,1128,Independiente Medellín,753,Santa Cruz,2,0,2,0,True,2016 Copa Sudamericana final stages
9520160069,2016-09-22T22:15:00+00:00,,Estadio Pedro Bidegain,Buenos Aires,FT,11,2016,8th Finals,460,San Lorenzo,2813,Deportivo La Guaira,2,1,2,1,True,2016 Copa Sudamericana final stages
9520160070,2016-09-23T00:45:00+00:00,,Estadio Metropolitano de Techo,Bogotá,FT,11,2016,8th Finals,1139,Santa Fe,1176,Cerro Porteño,2,0,2,0,True,2016 Copa Sudamericana final stages
9520160071,2016-09-28T00:45:00+00:00,,Estadio Atanasio Girardot,Medellín,FT,11,2016,8th Finals,1137,Atlético Nacional,1177,Sol de América,2,0,2,0,True,2016 Copa Sudamericana final stages
9520160072,2016-09-28T22:15:00+00:00,,Arena Condá,Chapecó,PEN,11,2016,8th Finals,132,Chapecoense-sc,453,Independiente,0,0,0,0,True,2016 Copa Sudamericana final stages
9520160073,2016-09-28T22:15:00+00:00,,Estadio Metropolitano Roberto Meléndez,Barranquilla,PEN,11,2016,8th Finals,1135,Junior,2360,Montevideo Wanderers,0,0,0,0,True,2016 Copa Sudamericana final stages
9520160074,2016-09-29T00:45:00+00:00,,Estadio Mario Alberto Kempes,Córdoba,PEN,11,2016,8th Finals,440,Belgrano,147,Coritiba,1,2,1,2,True,2016 Copa Sudamericana final stages
9520160075,2016-09-29T00:45:00+00:00,,Estádio Kléber Andrade,Cariacica,FT,11,2016,8th Finals,127,Flamengo,2318,Palestino,1,2,1,2,True,2016 Copa Sudamericana final stages
9520160076,2016-09-29T00:45:00+00:00,,Estádio do Arruda,Recife,FT,11,2016,8th Finals,753,Santa Cruz,1128,Independiente Medellín,3,1,3,1,True,2016 Copa Sudamericana final stages
9520160077,2016-09-29T22:15:00+00:00,,Estadio Metropolitano de Lara,Barquisimeto,FT,11,2016,8th Finals,2813,Deportivo La Guaira,460,San Lorenzo,0,2,0,2,True,2016 Copa Sudamericana final stages
9520160078,2016-09-30T00:45:00+00:00,,Estadio Defensores del Chaco,Asunción,FT,11,2016,8th Finals,1176,Cerro Porteño,1139,Santa Fe,4,1,4,1,True,2016 Copa Sudamericana final stages
9520160079,2016-10-19T00:00:00+00:00,,Estadio Atanasio Girardot,Medellín,FT,11,2016,Quarter-finals,1128,Independiente Medellín,1176,Cerro Porteño,0,0,0,0,True,2016 Copa Sudamericana final stages
9520160080,2016-10-19T23:45:00+00:00,,Estádio Couto Pereira,Curitiba,FT,11,2016,Quarter-finals,147,Coritiba,1137,Atlético Nacional,1,1,1,1,True,2016 Copa Sudamericana final stages
9520160081,2016-10-19T23:45:00+00:00,,Estadio Metropolitano Roberto Meléndez,Barranquilla,FT,11,2016,Quarter-finals,1135,Junior,132,Chapecoense-sc,1,0,1,0,True,2016 Copa Sudamericana final stages
9520160082,2016-10-21T00:00:00+00:00,,Estadio Pedro Bidegain,Buenos Aires,FT,11,2016,Quarter-finals,460,San Lorenzo,2318,Palestino,2,0,2,0,True,2016 Copa Sudamericana final stages
9520160083,2016-10-26T00:00:00+00:00,,Estadio Defensores del Chaco,Asunción,FT,11,2016,Quarter-finals,1176,Cerro Porteño,1128,Independiente Medellín,2,0,2,0,True,2016 Copa Sudamericana final stages
9520160084,2016-10-26T23:45:00+00:00,,Arena Condá,Chapecó,FT,11,2016,Quarter-finals,132,Chapecoense-sc,1135,Junior,3,0,3,0,True,2016 Copa Sudamericana final stages
9520160085,2016-10-26T23:45:00+00:00,,Estadio Atanasio Girardot,Medellín,FT,11,2016,Quarter-finals,1137,Atlético Nacional,147,Coritiba,3,1,3,1,True,2016 Copa Sudamericana final stages
9520160086,2016-10-28T00:00:00+00:00,,Estadio Monumental David Arellano,Santiago,FT,11,2016,Quarter-finals,2318,Palestino,460,San Lorenzo,1,0,1,0,True,2016 Copa Sudamericana final stages
9520160087,2016-11-01T23:45:00+00:00,,Estadio Defensores del Chaco,Asunción,FT,11,2016,Semi-finals,1176,Cerro Porteño,1137,Atlético Nacional,1,1,1,1,True,2016 Copa Sudamericana final stages
9520160088,2016-11-02T23:45:00+00:00,,Estadio Pedro Bidegain,Buenos Aires,FT,11,2016,Semi-finals,460,San Lorenzo,132,Chapecoense-sc,1,1,1,1,True,2016 Copa Sudamericana final stages
9520160089,2016-11-23T23:45:00+00:00,,Arena Condá,Chapecó,FT,11,2016,Semi-finals,132,Chapecoense-sc,460,San Lorenzo,0,0,0,0,True,2016 Copa Sudamericana final stages
9520160090,2016-11-25T00:45:00+00:00,,Estadio Atanasio Girardot,Medellín,FT,11,2016,Semi-finals,1137,Atlético Nacional,1176,Cerro Porteño,0,0,0,0,True,2016 Copa Sudamericana final stages
9520160091,2016-11-30T23:45:00+00:00,,Estadio Atanasio Girardot,Medellín,CANC,11,2016,Final,1137,Atlético Nacional,132,Chapecoense-sc,,,,,True,2016 Copa Sudamericana final stages
9520160092,2016-12-07T23:45:00+00:00,,Estádio Couto Pereira,Curitiba,CANC,11,2016,Final,132,Chapecoense-sc,1137,Atlético Nacional,,,,,True,2016 Copa Sudamericana final stages
