wikipedia_article,country,team_id,name,method
Alianza Lima,PER,2553,Alianza Lima,kick-off pairing
América de Cali,COL,1138,América de Cali,kick-off pairing
Argentinos Juniors,ARG,458,Argentinos Juniors,kick-off pairing
Arsenal de Sarandí,ARG,459,Arsenal,kick-off pairing
Asociación Civil Deportivo Lara,VEN,2812,Deportivo Lara,kick-off pairing
Associação Atlética Ponte Preta,BRA,139,Ponte Preta,Brazilian name
Associação Chapecoense de Futebol,BRA,132,Chapecoense-sc,Brazilian name
Atlético Junior,COL,1135,Junior,kick-off pairing
Atlético Nacional,COL,1137,Atlético Nacional,kick-off pairing
Atlético Tucumán,ARG,455,Atlético Tucumán,kick-off pairing
Atlético Venezuela,VEN,8000001,Atlético Venezuela,synthetic (not in any API season paired)
Audax Italiano,CHI,2329,Audax Italiano,kick-off pairing
Barcelona S.C.,ECU,1152,Barcelona,kick-off pairing
Barcelona Sporting Club,ECU,1152,Barcelona,same name and country as a paired club
Boca Juniors,ARG,451,Boca Juniors,kick-off pairing
Boston River,URU,2361,Boston River,kick-off pairing
Botafogo de Futebol e Regatas,BRA,120,Botafogo,Brazilian name
Brasília Futebol Clube,BRA,10685,Brasília,Brazilian name
C.A. Cerro,URU,8000002,Cerro,synthetic (not in any API season paired)
C.D. Antofagasta,CHI,2327,Deportes Antofagasta,kick-off pairing
C.D. Cuenca,ECU,1154,Deportivo Cuenca,kick-off pairing
C.D. El Nacional,ECU,1150,El Nacional,kick-off pairing
C.D. Jorge Wilstermann,BOL,3705,Jorge Wilstermann,kick-off pairing
C.D. Universidad Católica del Ecuador,ECU,1157,Universidad Católica,kick-off pairing
C.D. Universidad de Concepción,CHI,8000003,Universidad de Concepción,synthetic (not in any API season paired)
C.S. Emelec,ECU,1148,Emelec,kick-off pairing
C.S.D. Independiente del Valle,ECU,1153,Independiente del Valle,kick-off pairing
C.S.D. Macará,ECU,1155,Macará,kick-off pairing
CR Vasco da Gama,BRA,133,Vasco DA Gama,Brazilian name
Carabobo FC,VEN,2810,Carabobo,same name and country as a paired club
