type,date,team,position,times
brasileirao_positions,2025-08-03,Flamengo,1,453
brasileirao_positions,2025-08-03,Flamengo,4,74
brasileirao_positions,2025-08-03,Flamengo,2,245
brasileirao_positions,2025-08-03,Flamengo,3,170
brasileirao_positions,2025-08-03,Flamengo,6,16
brasileirao_positions,2025-08-03,Flamengo,10,2
brasileirao_positions,2025-08-03,Flamengo,7,4
brasileirao_positions,2025-08-03,Flamengo,5,29
brasileirao_positions,2025-08-03,Flamengo,8,6
brasileirao_positions,2025-08-03,Flamengo,11,1
brasileirao_positions,2025-08-03,Palmeiras,2,263
brasileirao_positions,2025-08-03,Palmeiras,1,211
brasileirao_positions,2025-08-03,Palmeiras,3,236
brasileirao_positions,2025-08-03,Palmeiras,5,82
brasileirao_positions,2025-08-03,Palmeiras,4,125
brasileirao_positions,2025-08-03,Palmeiras,6,33
brasileirao_positions,2025-08-03,Palmeiras,7,22
brasileirao_positions,2025-08-03,Palmeiras,8,12
brasileirao_positions,2025-08-03,Palmeiras,9,6
brasileirao_positions,2025-08-03,Palmeiras,12,1
brasileirao_positions,2025-08-03,Palmeiras,10,7
brasileirao_positions,2025-08-03,Palmeiras,13,1
brasileirao_positions,2025-08-03,Palmeiras,14,1
brasileirao_positions,2025-08-03,Cruzeiro,3,221
brasileirao_positions,2025-08-03,Cruzeiro,2,299
brasileirao_positions,2025-08-03,Cruzeiro,9,3
brasileirao_positions,2025-08-03,Cruzeiro,5,52
brasileirao_positions,2025-08-03,Cruzeiro,1,263
brasileirao_positions,2025-08-03,Cruzeiro,4,112
brasileirao_positions,2025-08-03,Cruzeiro,6,34
brasileirao_positions,2025-08-03,Cruzeiro,7,9
brasileirao_positions,2025-08-03,Cruzeiro,10,1
brasileirao_positions,2025-08-03,Cruzeiro,8,5
brasileirao_positions,2025-08-03,Cruzeiro,11,1
brasileirao_positions,2025-08-03,Mirassol,4,111
brasileirao_positions,2025-08-03,Mirassol,12,40
brasileirao_positions,2025-08-03,Mirassol,10,74
brasileirao_positions,2025-08-03,Mirassol,7,123
brasileirao_positions,2025-08-03,Mirassol,5,126
brasileirao_positions,2025-08-03,Mirassol,6,127
brasileirao_positions,2025-08-03,Mirassol,11,62
brasileirao_positions,2025-08-03,Mirassol,9,88
brasileirao_positions,2025-08-03,Mirassol,3,49
brasileirao_positions,2025-08-03,Mirassol,13,24
brasileirao_positions,2025-08-03,Mirassol,2,25
brasileirao_positions,2025-08-03,Mirassol,8,107
brasileirao_positions,2025-08-03,Mirassol,14,12
brasileirao_positions,2025-08-03,Mirassol,1,13
brasileirao_positions,2025-08-03,Mirassol,16,9
brasileirao_positions,2025-08-03,Mirassol,15,7
brasileirao_positions,2025-08-03,Mirassol,19,1
brasileirao_positions,2025-08-03,Mirassol,18,2
brasileirao_positions,2025-08-03,Botafogo,5,168
brasileirao_positions,2025-08-03,Botafogo,9,49
brasileirao_positions,2025-08-03,Botafogo,7,100
brasileirao_positions,2025-08-03,Botafogo,4,182
brasileirao_positions,2025-08-03,Botafogo,10,37
brasileirao_positions,2025-08-03,Botafogo,3,111
brasileirao_positions,2025-08-03,Botafogo,6,129
brasileirao_positions,2025-08-03,Botafogo,11,30
brasileirao_positions,2025-08-03,Botafogo,8,76
brasileirao_positions,2025-08-03,Botafogo,2,63
brasileirao_positions,2025-08-03,Botafogo,12,17
brasileirao_positions,2025-08-03,Botafogo,14,4
brasileirao_positions,2025-08-03,Botafogo,1,22
brasileirao_positions,2025-08-03,Botafogo,13,8
brasileirao_positions,2025-08-03,Botafogo,16,2
brasileirao_positions,2025-08-03,Botafogo,15,2
brasileirao_positions,2025-08-03,Bahia,6,114
brasileirao_positions,2025-08-03,Bahia,2,83
brasileirao_positions,2025-08-03,Bahia,4,196
brasileirao_positions,2025-08-03,Bahia,8,56
brasileirao_positions,2025-08-03,Bahia,3,135
brasileirao_positions,2025-08-03,Bahia,14,6
brasileirao_positions,2025-08-03,Bahia,5,185
brasileirao_positions,2025-08-03,Bahia,7,91
brasileirao_positions,2025-08-03,Bahia,1,32
brasileirao_positions,2025-08-03,Bahia,11,19
brasileirao_positions,2025-08-03,Bahia,13,7
brasileirao_positions,2025-08-03,Bahia,9,31
brasileirao_positions,2025-08-03,Bahia,15,5
brasileirao_positions,2025-08-03,Bahia,10,23
brasileirao_positions,2025-08-03,Bahia,12,16
brasileirao_positions,2025-08-03,Bahia,17,1
brasileirao_positions,2025-08-03,Vasco DA Gama,7,16
brasileirao_positions,2025-08-03,Vasco DA Gama,19,54
brasileirao_positions,2025-08-03,Vasco DA Gama,14,94
brasileirao_positions,2025-08-03,Vasco DA Gama,16,146
brasileirao_positions,2025-08-03,Vasco DA Gama,17,128
brasileirao_positions,2025-08-03,Vasco DA Gama,12,72
brasileirao_positions,2025-08-03,Vasco DA Gama,15,115
brasileirao_positions,2025-08-03,Vasco DA Gama,8,19
brasileirao_positions,2025-08-03,Vasco DA Gama,18,156
brasileirao_positions,2025-08-03,Vasco DA Gama,9,20
brasileirao_positions,2025-08-03,Vasco DA Gama,20,14
brasileirao_positions,2025-08-03,Vasco DA Gama,13,82
brasileirao_positions,2025-08-03,Vasco DA Gama,11,44
brasileirao_positions,2025-08-03,Vasco DA Gama,10,32
brasileirao_positions,2025-08-03,Vasco DA Gama,4,3
brasileirao_positions,2025-08-03,Vasco DA Gama,6,3
brasileirao_positions,2025-08-03,Vasco DA Gama,5,2
brasileirao_positions,2025-08-03,Internacional,8,71
brasileirao_positions,2025-08-03,Internacional,5,19
brasileirao_positions,2025-08-03,Internacional,18,30
brasileirao_positions,2025-08-03,Internacional,9,78
brasileirao_positions,2025-08-03,Internacional,13,104
brasileirao_positions,2025-08-03,Internacional,12,107
brasileirao_positions,2025-08-03,Internacional,7,49
brasileirao_positions,2025-08-03,Internacional,15,84
brasileirao_positions,2025-08-03,Internacional,14,91
brasileirao_positions,2025-08-03,Internacional,10,77
brasileirao_positions,2025-08-03,Internacional,17,55
brasileirao_positions,2025-08-03,Internacional,16,66
brasileirao_positions,2025-08-03,Internacional,11,99
brasileirao_positions,2025-08-03,Internacional,6,48
brasileirao_positions,2025-08-03,Internacional,4,14
brasileirao_positions,2025-08-03,Internacional,19,5
brasileirao_positions,2025-08-03,Internacional,20,1
brasileirao_positions,2025-08-03,Internacional,3,2
brasileirao_positions,2025-08-03,Vitoria,9,24
brasileirao_positions,2025-08-03,Vitoria,13,105
brasileirao_positions,2025-08-03,Vitoria,12,68
