date,home,away,goals_home,goals_away,outcome,p_home,p_draw,p_away
29/05/2021,Sao Paulo,Fluminense,0,0,draw,0.579,0.217,0.204
29/05/2021,Bahia,Santos,3,0,home,0.521,0.24,0.239
29/05/2021,Cuiaba,Juventude,2,2,draw,0.40399999999999997,0.27699999999999997,0.318
30/05/2021,Flamengo,Palmeiras,1,0,home,0.484,0.248,0.268
30/05/2021,Corinthians,Atletico Goianiense,0,1,away,0.467,0.265,0.268
30/05/2021,Atletico-MG,Fortaleza EC,1,2,away,0.505,0.27,0.225
30/05/2021,Internacional,Sport Recife,2,2,draw,0.752,0.17800000000000002,0.069
30/05/2021,Ceara,Gremio,3,2,home,0.377,0.262,0.361
30/05/2021,Atletico Paranaense,America Mineiro,1,0,home,0.358,0.331,0.311
30/05/2021,Chapecoense-sc,RB Bragantino,0,3,away,0.311,0.309,0.38
05/06/2021,Santos,Ceara,3,1,home,0.28800000000000003,0.244,0.467
05/06/2021,RB Bragantino,Bahia,3,3,draw,0.49700000000000005,0.265,0.23800000000000002
05/06/2021,Atletico Goianiense,Sao Paulo,2,0,home,0.29,0.243,0.467
06/06/2021,Fluminense,Cuiaba,1,0,home,0.638,0.231,0.131
06/06/2021,Palmeiras,Chapecoense-sc,3,1,home,0.607,0.26899999999999996,0.124
06/06/2021,America Mineiro,Corinthians,0,1,away,0.37200000000000005,0.321,0.307
06/06/2021,Fortaleza EC,Internacional,5,1,home,0.331,0.281,0.38799999999999996
06/06/2021,Sport Recife,Atletico-MG,0,1,away,0.18899999999999997,0.243,0.568
06/06/2021,Juventude,Atletico Paranaense,0,3,away,0.402,0.285,0.313
12/06/2021,Palmeiras,Corinthians,1,1,draw,0.442,0.32,0.23800000000000002
12/06/2021,Santos,Juventude,0,0,draw,0.494,0.24,0.266
13/06/2021,Flamengo,America Mineiro,2,0,home,0.6629999999999999,0.213,0.124
13/06/2021,Atletico-MG,Sao Paulo,1,0,home,0.369,0.233,0.39799999999999996
13/06/2021,Gremio,Atletico Paranaense,0,1,away,0.589,0.259,0.152
13/06/2021,Fortaleza EC,Sport Recife,1,0,home,0.701,0.225,0.073
13/06/2021,Bahia,Internacional,0,1,away,0.39399999999999996,0.24100000000000002,0.365
13/06/2021,RB Bragantino,Fluminense,2,2,draw,0.41100000000000003,0.276,0.313
13/06/2021,Chapecoense-sc,Ceara,0,0,draw,0.299,0.259,0.442
16/06/2021,Corinthians,RB Bragantino,1,2,away,0.387,0.29,0.32299999999999995
16/06/2021,Sao Paulo,Chapecoense-sc,1,1,draw,0.7090000000000001,0.183,0.10800000000000001
16/06/2021,Internacional,Atletico-MG,0,1,away,0.414,0.247,0.33899999999999997
16/06/2021,Juventude,Palmeiras,0,3,away,0.20199999999999999,0.276,0.522
17/06/2021,Fluminense,Santos,1,0,home,0.61,0.226,0.16399999999999998
