season,partial,matches,rps_elo,rps_current,rps_elo_fixed,diff_elo_vs_current,ci_low,ci_high,line_fitted_on
2016,False,375,0.2047152326456803,0.20745508387804504,,-0.0027398512323647778,-0.0068848870952581374,0.0013759706911659324,2015
2017,False,378,0.22814935160692973,0.22580773903528253,,0.002341612571647207,-0.00430671995242574,0.008930300300330641,2016
2018,False,377,0.1874824946218951,0.19354022250811895,,-0.00605772788622391,-0.010348525193326267,-0.001817748297065928,2017
2019,False,376,0.1966159139538977,0.20260886154097146,,-0.005992947587073759,-0.01252829152827196,0.0006406112104238884,2018
2020,False,377,0.2125287317681824,0.21595519635510813,0.2125287317681824,-0.003426464586925717,-0.00977389629835013,0.0029473733273053288,2019
2021,False,377,0.20936313013140487,0.21195112675546707,0.21099002662490582,-0.002587996624062188,-0.008817361662625322,0.003762873225423527,2020
2022,False,377,0.20670710463975353,0.21088637744544672,0.20688597092684224,-0.004179272805693136,-0.010779827607317964,0.0026432982794569846,2021
2023,False,373,0.21788899744394033,0.2200185866367565,0.217527535909038,-0.0021295891928161943,-0.009490191134393637,0.005488162323395158,2022
2024,False,376,0.2093830350463,0.21426182727410922,0.2096089493070247,-0.004878792227809224,-0.010170689818308242,0.00038766618679944695,2023
2025,False,374,0.20156852226429128,0.2079049902783583,0.20267856453463215,-0.006336468014066983,-0.011826115892454395,-0.0008367085497610833,2024
2026,True,241,0.2043568073378188,0.2097623469864263,0.20477463763140435,-0.005405539648607513,-0.012939305132084116,0.0022358557476251702,2025
