season,weights,n_scored,missing,mean_brier,mean_reference_brier,skill,diff_vs_baseline,diff_ci_low,diff_ci_high,beats_baseline
2016,"(1, 1, 1)",375,0,0.6007794300338425,0.6094310491665564,0.014196223091268001,-0.002484316076409322,-0.007591036876648512,0.002612697384378561,True
2016,"(2, 2, 1)",375,0,0.6011272556636439,0.6094310491665564,0.013625484809591915,-0.002136490446607895,-0.004549100660985773,0.0002703905251132222,True
2016,"(4, 3, 1)",375,0,0.6032637461102518,0.6094310491665564,0.01011977165380551,0.0,0.0,0.0,
2016,"(8, 4, 1)",375,0,0.6074441494012686,0.6094310491665564,0.003260253588991069,0.004180403291016779,0.0012477194289480821,0.007114509459137721,False
2016,"(16, 6, 1)",375,0,0.6134502153446337,0.6094310491665564,-0.006594948162837788,0.010186469234381853,0.0040005427424793195,0.016389545280615217,False
2017,"(1, 1, 1)",378,0,0.646153519137319,0.648758665670023,0.004015586489335754,-0.0003763746598352206,-0.006528248230206315,0.005903277859091865,True
2017,"(2, 2, 1)",378,0,0.6459302418741406,0.648758665670023,0.004359747230445521,-0.0005996519230136076,-0.003511185009062645,0.002345866717276009,True
2017,"(4, 3, 1)",378,0,0.6465298937971542,0.648758665670023,0.0034354406203839227,0.0,0.0,0.0,
2017,"(8, 4, 1)",378,0,0.6483697994727389,0.648758665670023,0.0005994003901012013,0.0018399056755845121,-0.0017351920906422057,0.005413430930893534,False
2017,"(16, 6, 1)",378,0,0.6523049237024509,0.648758665670023,-0.005466220676629163,0.005775029905296661,-0.0017414640798697379,0.013276250379504369,False
2018,"(1, 1, 1)",377,0,0.5921431541374949,0.6005712102397557,0.014033400134009444,0.002884164276173586,-0.002302451562505588,0.007988175827601083,False
2018,"(2, 2, 1)",377,0,0.5895306478342213,0.6005712102397557,0.018383435997751052,0.0002716579728999212,-0.002106935893577531,0.002617565807932129,False
2018,"(4, 3, 1)",377,0,0.5892589898613213,0.6005712102397557,0.018835768657505914,0.0,0.0,0.0,
2018,"(8, 4, 1)",377,0,0.5912027380452747,0.6005712102397557,0.015599269553299044,0.0019437481839533748,-0.0008804722428111625,0.00483468894953158,False
2018,"(16, 6, 1)",377,0,0.5949144987853211,0.6005712102397557,0.009418885484331452,0.00565550892399975,-0.00024035260941938244,0.011708753125779233,False
2019,"(1, 1, 1)",376,0,0.596630692335194,0.6350044203453763,0.06043064706433232,0.00047705263678674947,-0.004806768372057811,0.0057394345477219414,False
2019,"(2, 2, 1)",376,0,0.5954861994426012,0.6350044203453763,0.06223298552989809,-0.0006674402558060392,-0.0031268743948672825,0.0018359516150296329,True
2019,"(4, 3, 1)",376,0,0.5961536396984072,0.6350044203453763,0.061181905829629235,0.0,0.0,0.0,
2019,"(8, 4, 1)",376,0,0.5987945856764981,0.6350044203453763,0.05702296473650337,0.002640945978091004,-0.00037699309745420096,0.005612939905666133,False
2019,"(16, 6, 1)",376,0,0.6032789901636264,0.6350044203453763,0.049960959585910514,0.00712535046521928,0.0008087414727061708,0.01336026772681547,False
2020,"(1, 1, 1)",377,0,0.6360504899652163,0.6456549740258786,0.014875567364989184,-0.0030515401534462684,-0.008756435132458452,0.00276827115831625,True
2020,"(2, 2, 1)",377,0,0.6375698748509064,0.6456549740258786,0.01252232151881183,-0.0015321552677560262,-0.004225447444039039,0.0011524932681893502,True
2020,"(4, 3, 1)",377,0,0.6391020301186625,0.6456549740258786,0.010149296715482925,0.0,0.0,0.0,
2020,"(8, 4, 1)",377,0,0.6409398517597443,0.6456549740258786,0.007302851299563096,0.0018378216410817848,-0.0014438148217842234,0.005071314683237879,False
2020,"(16, 6, 1)",377,0,0.644566052609497,0.6456549740258786,0.0016865376403620846,0.005464022490834345,-0.0013719119336032665,0.012256769983526173,False
2021,"(1, 1, 1)",377,0,0.6396458184224679,0.6418950821840306,0.0035040987600490903,0.006871435785360926,0.0006333455026300232,0.012996278025493174,False
2021,"(2, 2, 1)",377,0,0.6352341739321907,0.6418950821840306,0.010376942333280237,0.002459791295083684,-0.00048596771814757766,0.005337280821607818,False
2021,"(4, 3, 1)",377,0,0.6327743826371071,0.6418950821840306,0.014209019199665107,0.0,0.0,0.0,
2021,"(8, 4, 1)",377,0,0.6319055280531919,0.6418950821840306,0.01556259645556013,-0.0008688545839150841,-0.004189774356651526,0.002586933038383348,True
2021,"(16, 6, 1)",377,0,0.6328841600169383,0.6418950821840306,0.014037998447398725,0.00010977737983119653,-0.006846607949074461,0.007367121425051561,False
2022,"(1, 1, 1)",377,0,0.6228790859372275,0.6477433007340352,0.038385908072890995,0.0016741462016849732,-0.003645674490326761,0.0069719989700489,False
2022,"(2, 2, 1)",377,0,0.6213939597506519,0.6477433007340352,0.04067867773163181,0.00018902001510945373,-0.0022787898484308657,0.0026575711357319644,False
2022,"(4, 3, 1)",377,0,0.6212049397355426,0.6477433007340352,0.04097049088492122,0.0,0.0,0.0,
2022,"(8, 4, 1)",377,0,0.6222325529744938,0.6477433007340352,0.03938403952712777,0.0010276132389511145,-0.0018328376823617094,0.003916262641416026,False
2022,"(16, 6, 1)",377,0,0.6247660223137409,0.6477433007340352,0.035472815225191856,0.003561082578198344,-0.0024303012008924326,0.00961324046238492,False
2023,"(1, 1, 1)",373,0,0.6307667526095055,0.6399900484950206,0.014411623910722149,-0.002627475022179153,-0.008918799187254137,0.0035716866010137823,True
2023,"(2, 2, 1)",373,0,0.6315954058857706,0.6399900484950206,0.01311683303356137,-0.0017988217459140882,-0.0047582792336409874,0.0011208119713757637,True
2023,"(4, 3, 1)",373,0,0.6333942276316847,0.6399900484950206,0.010306130351317777,0.0,0.0,0.0,
2023,"(8, 4, 1)",373,0,0.6363483110163198,0.6399900484950206,0.005690303290284859,0.0029540833846350696,-0.000594553864584689,0.006566964779104854,False
2023,"(16, 6, 1)",373,0,0.6413301637608422,0.6399900484950206,-0.0020939626623459606,0.007935936129157424,0.0005562438282736886,0.015495315353833337,False
2024,"(1, 1, 1)",376,0,0.6233766488350557,0.6361170212765956,0.02002834701069911,0.0015585394386377087,-0.0045652450596414046,0.007757358325886293,False
2024,"(2, 2, 1)",376,0,0.6223585384224207,0.6361170212765956,0.021628855059661167,0.0005404290260026583,-0.0022302048286863933,0.0033152180570559815,False
2024,"(4, 3, 1)",376,0,0.621818109396418,0.6361170212765956,0.02247842991448612,0.0,0.0,0.0,
2024,"(8, 4, 1)",376,0,0.6211960224854005,0.6361170212765956,0.023456374050879525,-0.000622086911017515,-0.003675693775704088,0.0025298814439253152,True
2024,"(16, 6, 1)",376,0,0.6221409130012825,0.6361170212765956,0.0219709704470179,0.00032280360486447977,-0.0060710557769732875,0.0069349264136805335,False
2025,"(1, 1, 1)",374,0,0.6090650919821496,0.6248475713629698,0.025258127108334638,0.0021835531098645285,-0.004037982477472845,0.008479097240971047,False
2025,"(2, 2, 1)",374,0,0.6071292783056366,0.6248475713629698,0.028356184563036013,0.00024773943335141456,-0.002592342211200714,0.003125126191795531,False
2025,"(4, 3, 1)",374,0,0.606881538872285,0.6248475713629698,0.0287526643521967,0.0,0.0,0.0,
2025,"(8, 4, 1)",374,0,0.607985390077477,0.6248475713629698,0.02698607157696331,0.0011038512051919059,-0.0022490370329602783,0.004491636523947058,False
2025,"(16, 6, 1)",374,0,0.611011324921931,0.6248475713629698,0.022143394765635316,0.00412978604964594,-0.0028706249544902915,0.01121290345629963,False
